"filename", "language", "C++", "comment", "blank", "total"
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Auto_Radius.h", "C++", 21, 27, 8, 56
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Display.h", "C++", 82, 2, 21, 105
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Feed.h", "C++", 21, 1, 7, 29
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interface.h", "C++", 554, 43, 23, 620
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Interrupts.h", "C++", 21, 3, 7, 31
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Main.cpp", "C++", 69, 19, 18, 106
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Menu.h", "C++", 348, 14, 23, 385
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Things_to_do.h", "C++", 0, 18, 1, 19
"f:\OneDrive\Documents\PlatformIO\Projects\ELS\src\Thread.h", "C++", 32, 19, 8, 59
"Total", "-", 1148, 146, 116, 1410